
Host: QUADRAXIS

Timers On : Mon Dec 27 15:30:27 2021
Timers Off: Mon Dec 27 15:31:10 2021

Wall Time:       43.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: initialize()                   :      0.050u      0.017s      0.042w      3 calls
DFH: AO Construction                :      0.017u      0.000s      0.011w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.020w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.000u      0.000s      0.001w      3 calls
HF: Form G                          :      2.300u      0.017s      1.384w     24 calls
RV: Form V                          :      2.300u      0.017s      1.379w     24 calls
Properties                          :      0.533u      0.000s      0.334w   5328 calls
Functional                          :      1.083u      0.017s      0.638w   5328 calls
V_xc                                :      0.667u      0.000s      0.393w   5328 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.000u      0.000s      0.004w     24 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.050u      0.000s      0.020w     24 calls
DIISManager::add_entry              :      0.000u      0.000s      0.008w     24 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     24 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     24 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     24 calls
New vector                          :      0.000u      0.000s      0.001w     24 calls
HF: Form C                          :      0.000u      0.000s      0.005w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.000s      0.015w      3 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      3 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.012w      3 calls
DFH: initialize()                   :      0.050u      0.017s      0.042w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.009w      6 calls
| DFH: AO Construction              :      0.017u      0.000s      0.011w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.020w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.000u      0.000s      0.001w      3 calls
HF: Form G                          :      2.300u      0.017s      1.384w     24 calls
| RV: Form V                        :      2.300u      0.017s      1.379w     24 calls
| | Properties                      :      0.533u      0.000s      0.334w   5328 calls
| | Functional                      :      1.083u      0.017s      0.638w   5328 calls
| | V_xc                            :      0.667u      0.000s      0.393w   5328 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.000u      0.000s      0.004w     24 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.050u      0.000s      0.020w     24 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.008w     24 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.002w     24 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     24 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     24 calls
| | New vector                      :      0.000u      0.000s      0.001w     24 calls
HF: Form C                          :      0.000u      0.000s      0.005w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Fri Mar  4 14:11:29 2022
Timers Off: Fri Mar  4 14:12:41 2022

Wall Time:       72.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      2.483u      0.033s      1.488w     24 calls
Libint2ERI::Libint2ERI              :      0.500u      0.017s      0.361w     73 calls
HF: Form core H                     :      0.100u      0.000s      0.183w     21 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     21 calls
HF: Guess                           :      0.000u      0.000s      0.010w     21 calls
HF: Form G                          :      0.433u      0.000s      0.312w     99 calls
JK: D                               :      0.000u      0.000s      0.002w    122 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w    122 calls
JK: JK                              :      0.083u      0.000s      0.065w    122 calls
PK computes JK                      :      0.083u      0.000s      0.058w     81 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.007w     41 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     41 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w     41 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    122 calls
RV: Form V                          :      0.367u      0.000s      0.256w     41 calls
Properties                          :      0.117u      0.000s      0.050w   1073 calls
Functional                          :      0.167u      0.000s      0.134w   1073 calls
V_xc                                :      0.083u      0.000s      0.066w   1073 calls
HF: Form F                          :      0.000u      0.000s      0.001w     99 calls
HF: DIIS                            :      0.183u      0.000s      0.131w     99 calls
DIISManager::add_entry              :      0.083u      0.000s      0.045w     99 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.015w     99 calls
bMatrix setup                       :      0.017u      0.000s      0.005w     99 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.005w     99 calls
New vector                          :      0.000u      0.000s      0.004w     99 calls
HF: Form C                          :      0.083u      0.000s      0.028w     99 calls
HF: Form D                          :      0.000u      0.000s      0.001w     99 calls
ccenergy                            :      3.717u      5.083s     24.929w      5 calls
F build                             :      0.150u      0.167s      0.207w     50 calls
Wmbej build                         :      0.367u      0.350s      0.421w     50 calls
C->Wmbej                            :      0.017u      0.017s      0.018w     50 calls
F->Wmbej                            :      0.183u      0.133s      0.163w     50 calls
E->Wmbej                            :      0.033u      0.100s      0.068w     50 calls
X->Wmbej                            :      0.133u      0.083s      0.155w     50 calls
Z                                   :      0.100u      0.050s      0.073w     50 calls
T2 Build                            :      1.083u      0.683s      1.072w     50 calls
BT2                                 :      0.467u      0.233s      0.477w     50 calls
ABCD:new                            :      0.850u      0.500s      0.906w     95 calls
ABCD:S                              :      0.200u      0.133s      0.241w     95 calls
ABCD:A                              :      0.317u      0.117s      0.231w     95 calls
ABCD:axpy                           :      0.317u      0.233s      0.356w     95 calls
FT2                                 :      0.033u      0.033s      0.059w     50 calls
WmbejT2                             :      0.217u      0.083s      0.174w     50 calls
CT2                                 :      0.100u      0.200s      0.192w     50 calls
cchbar                              :      0.650u      0.700s      2.662w      5 calls
cclambda                            :      1.683u      1.150s      4.123w      5 calls
ccdensity                           :      0.183u      0.433s      2.730w      5 calls
V: Grid                             :      0.033u      0.000s      0.034w     25 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.054w      6 calls
DFH: initialize()                   :      0.183u      0.000s      0.115w      6 calls
DFH: AO Construction                :      0.017u      0.000s      0.020w      6 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.004w      6 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w     54 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.002w    273 calls
CIWave: s2                          :      0.083u      0.000s      0.060w     77 calls
CIWave: s3                          :      0.100u      0.000s      0.053w    126 calls
CIWave: s3_mt                       :      0.083u      0.000s      0.028w   1540 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     63 calls
CIWave: opdm                        :      0.000u      0.000s      0.002w      1 calls
CIWave: TPDM                        :      0.100u      0.000s      0.067w      1 calls
CIWave: TPDM Block                  :      0.100u      0.000s      0.065w     30 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.001w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      2.483u      0.033s      1.488w     24 calls
| Libint2ERI::Libint2ERI            :      0.333u      0.017s      0.268w     48 calls
HF: Form core H                     :      0.100u      0.000s      0.183w     21 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     21 calls
HF: Guess                           :      0.000u      0.000s      0.010w     21 calls
HF: Form G                          :      0.433u      0.000s      0.312w     99 calls
| JK: D                             :      0.000u      0.000s      0.001w     99 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     99 calls
| JK: JK                            :      0.050u      0.000s      0.047w     99 calls
| | PK computes JK                  :      0.050u      0.000s      0.040w     58 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.007w     41 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     41 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w     41 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     99 calls
| RV: Form V                        :      0.367u      0.000s      0.256w     41 calls
| | Properties                      :      0.117u      0.000s      0.050w   1073 calls
| | Functional                      :      0.167u      0.000s      0.134w   1073 calls
| | V_xc                            :      0.083u      0.000s      0.066w   1073 calls
HF: Form F                          :      0.000u      0.000s      0.001w     99 calls
HF: DIIS                            :      0.183u      0.000s      0.131w     99 calls
| DIISManager::add_entry            :      0.083u      0.000s      0.045w     99 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.015w     99 calls
| | bMatrix setup                   :      0.017u      0.000s      0.005w     99 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.005w     99 calls
| | New vector                      :      0.000u      0.000s      0.004w     99 calls
HF: Form C                          :      0.083u      0.000s      0.028w     99 calls
HF: Form D                          :      0.000u      0.000s      0.001w     99 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.042w      7 calls
ccenergy                            :      3.717u      5.083s     24.929w      5 calls
| F build                           :      0.150u      0.167s      0.207w     50 calls
| Wmbej build                       :      0.367u      0.350s      0.421w     50 calls
| | C->Wmbej                        :      0.017u      0.017s      0.018w     50 calls
| | F->Wmbej                        :      0.183u      0.133s      0.163w     50 calls
| | E->Wmbej                        :      0.033u      0.100s      0.068w     50 calls
| | X->Wmbej                        :      0.133u      0.083s      0.155w     50 calls
| Z                                 :      0.100u      0.050s      0.073w     50 calls
| T2 Build                          :      1.083u      0.683s      1.072w     50 calls
| | BT2                             :      0.467u      0.233s      0.477w     50 calls
| | | ABCD:new                      :      0.467u      0.233s      0.477w     50 calls
| | | | ABCD:S                      :      0.100u      0.050s      0.126w     50 calls
| | | | ABCD:A                      :      0.183u      0.050s      0.119w     50 calls
| | | | ABCD:axpy                   :      0.183u      0.117s      0.190w     50 calls
| | FT2                             :      0.033u      0.033s      0.059w     50 calls
| | WmbejT2                         :      0.217u      0.083s      0.174w     50 calls
| | CT2                             :      0.100u      0.200s      0.192w     50 calls
cchbar                              :      0.650u      0.700s      2.662w      5 calls
cclambda                            :      1.683u      1.150s      4.123w      5 calls
| ABCD:new                          :      0.383u      0.267s      0.430w     45 calls
| | ABCD:S                          :      0.100u      0.083s      0.115w     45 calls
| | ABCD:A                          :      0.133u      0.067s      0.112w     45 calls
| | ABCD:axpy                       :      0.133u      0.117s      0.166w     45 calls
ccdensity                           :      0.183u      0.433s      2.730w      5 calls
V: Grid                             :      0.033u      0.000s      0.034w     25 calls
JK: D                               :      0.000u      0.000s      0.001w     23 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     23 calls
JK: JK                              :      0.033u      0.000s      0.018w     23 calls
| PK computes JK                    :      0.033u      0.000s      0.018w     23 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     23 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.054w      6 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.027w      6 calls
DFH: initialize()                   :      0.183u      0.000s      0.115w      6 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.023w     12 calls
| DFH: AO Construction              :      0.017u      0.000s      0.020w      6 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.004w      6 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w     54 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.002w    269 calls
CIWave: s2                          :      0.083u      0.000s      0.060w     77 calls
CIWave: s3                          :      0.100u      0.000s      0.053w    126 calls
| CIWave: s3_mt                     :      0.083u      0.000s      0.028w   1540 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     63 calls
CIWave: opdm                        :      0.000u      0.000s      0.002w      1 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      2 calls
CIWave: TPDM                        :      0.100u      0.000s      0.067w      1 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      2 calls
| CIWave: TPDM Block                :      0.100u      0.000s      0.065w     30 calls
| CIWave: TPDM Reorder              :      0.000u      0.000s      0.001w      1 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Fri Mar  4 14:17:48 2022
Timers Off: Fri Mar  4 14:18:57 2022

Wall Time:       68.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      2.000u      0.067s      1.223w     24 calls
Libint2ERI::Libint2ERI              :      0.467u      0.017s      0.295w     73 calls
HF: Form core H                     :      0.150u      0.000s      0.218w     21 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     21 calls
HF: Guess                           :      0.000u      0.000s      0.009w     21 calls
HF: Form G                          :      0.367u      0.000s      0.243w     99 calls
JK: D                               :      0.017u      0.000s      0.003w    237 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    237 calls
JK: JK                              :      0.233u      0.000s      0.133w    237 calls
PK computes JK                      :      0.233u      0.000s      0.129w    196 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w     41 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     41 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w     41 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    237 calls
RV: Form V                          :      0.300u      0.000s      0.192w     41 calls
Properties                          :      0.067u      0.000s      0.037w   1073 calls
Functional                          :      0.100u      0.000s      0.100w   1073 calls
V_xc                                :      0.100u      0.000s      0.050w   1073 calls
HF: Form F                          :      0.000u      0.000s      0.001w     99 calls
HF: DIIS                            :      0.083u      0.000s      0.118w     99 calls
DIISManager::add_entry              :      0.033u      0.000s      0.044w     99 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.013w     99 calls
bMatrix setup                       :      0.017u      0.000s      0.005w     99 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.004w     99 calls
New vector                          :      0.000u      0.000s      0.003w     99 calls
HF: Form C                          :      0.050u      0.000s      0.025w     99 calls
HF: Form D                          :      0.000u      0.000s      0.001w     99 calls
ccenergy                            :      3.200u      5.067s     22.446w      5 calls
F build                             :      0.267u      0.133s      0.187w     50 calls
Wmbej build                         :      0.450u      0.250s      0.369w     50 calls
C->Wmbej                            :      0.000u      0.033s      0.017w     50 calls
F->Wmbej                            :      0.167u      0.067s      0.139w     50 calls
E->Wmbej                            :      0.067u      0.067s      0.060w     50 calls
X->Wmbej                            :      0.200u      0.083s      0.138w     50 calls
Z                                   :      0.050u      0.033s      0.064w     50 calls
T2 Build                            :      0.750u      0.733s      0.895w     50 calls
BT2                                 :      0.383u      0.283s      0.393w     50 calls
ABCD:new                            :      0.800u      0.500s      0.736w     95 calls
ABCD:S                              :      0.233u      0.067s      0.196w     95 calls
ABCD:A                              :      0.233u      0.100s      0.185w     95 calls
ABCD:axpy                           :      0.250u      0.283s      0.293w     95 calls
FT2                                 :      0.000u      0.050s      0.050w     50 calls
WmbejT2                             :      0.150u      0.133s      0.146w     50 calls
CT2                                 :      0.150u      0.167s      0.157w     50 calls
cchbar                              :      0.600u      0.700s      2.488w      5 calls
cclambda                            :      1.283u      1.083s      3.776w      5 calls
ccdensity                           :      0.200u      0.417s      2.429w      5 calls
V: Grid                             :      0.067u      0.000s      0.028w     25 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.040w      6 calls
DFH: initialize()                   :      0.133u      0.000s      0.083w      6 calls
DFH: AO Construction                :      0.033u      0.000s      0.016w      6 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      6 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w     54 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.002w    273 calls
CIWave: s2                          :      0.083u      0.000s      0.062w     77 calls
CIWave: s3                          :      0.117u      0.000s      0.053w    126 calls
CIWave: s3_mt                       :      0.033u      0.000s      0.028w   1540 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     63 calls
CIWave: opdm                        :      0.000u      0.000s      0.002w      1 calls
CIWave: TPDM                        :      0.100u      0.000s      0.056w      1 calls
CIWave: TPDM Block                  :      0.083u      0.000s      0.055w     30 calls
CIWave: TPDM Reorder                :      0.000u      0.000s      0.001w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      2.000u      0.067s      1.223w     24 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.017s      0.226w     48 calls
HF: Form core H                     :      0.150u      0.000s      0.218w     21 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     21 calls
HF: Guess                           :      0.000u      0.000s      0.009w     21 calls
HF: Form G                          :      0.367u      0.000s      0.243w     99 calls
| JK: D                             :      0.000u      0.000s      0.001w     99 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     99 calls
| JK: JK                            :      0.050u      0.000s      0.043w     99 calls
| | PK computes JK                  :      0.050u      0.000s      0.039w     58 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w     41 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     41 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w     41 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     99 calls
| RV: Form V                        :      0.300u      0.000s      0.192w     41 calls
| | Properties                      :      0.067u      0.000s      0.037w   1073 calls
| | Functional                      :      0.100u      0.000s      0.100w   1073 calls
| | V_xc                            :      0.100u      0.000s      0.050w   1073 calls
HF: Form F                          :      0.000u      0.000s      0.001w     99 calls
HF: DIIS                            :      0.083u      0.000s      0.118w     99 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.044w     99 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.013w     99 calls
| | bMatrix setup                   :      0.017u      0.000s      0.005w     99 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.004w     99 calls
| | New vector                      :      0.000u      0.000s      0.003w     99 calls
HF: Form C                          :      0.050u      0.000s      0.025w     99 calls
HF: Form D                          :      0.000u      0.000s      0.001w     99 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.033w      7 calls
ccenergy                            :      3.200u      5.067s     22.446w      5 calls
| F build                           :      0.267u      0.133s      0.187w     50 calls
| Wmbej build                       :      0.450u      0.250s      0.369w     50 calls
| | C->Wmbej                        :      0.000u      0.033s      0.017w     50 calls
| | F->Wmbej                        :      0.167u      0.067s      0.139w     50 calls
| | E->Wmbej                        :      0.067u      0.067s      0.060w     50 calls
| | X->Wmbej                        :      0.200u      0.083s      0.138w     50 calls
| Z                                 :      0.050u      0.033s      0.064w     50 calls
| T2 Build                          :      0.750u      0.733s      0.895w     50 calls
| | BT2                             :      0.383u      0.283s      0.393w     50 calls
| | | ABCD:new                      :      0.383u      0.283s      0.393w     50 calls
| | | | ABCD:S                      :      0.117u      0.050s      0.107w     50 calls
| | | | ABCD:A                      :      0.100u      0.067s      0.096w     50 calls
| | | | ABCD:axpy                   :      0.100u      0.133s      0.156w     50 calls
| | FT2                             :      0.000u      0.050s      0.050w     50 calls
| | WmbejT2                         :      0.150u      0.133s      0.146w     50 calls
| | CT2                             :      0.150u      0.167s      0.157w     50 calls
cchbar                              :      0.600u      0.700s      2.488w      5 calls
cclambda                            :      1.283u      1.083s      3.776w      5 calls
| ABCD:new                          :      0.417u      0.217s      0.342w     45 calls
| | ABCD:S                          :      0.117u      0.017s      0.089w     45 calls
| | ABCD:A                          :      0.133u      0.033s      0.088w     45 calls
| | ABCD:axpy                       :      0.150u      0.150s      0.137w     45 calls
ccdensity                           :      0.200u      0.417s      2.429w      5 calls
V: Grid                             :      0.067u      0.000s      0.028w     25 calls
JK: D                               :      0.017u      0.000s      0.002w    138 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    138 calls
JK: JK                              :      0.183u      0.000s      0.090w    138 calls
| PK computes JK                    :      0.183u      0.000s      0.090w    138 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    138 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.040w      6 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.021w      6 calls
DFH: initialize()                   :      0.133u      0.000s      0.083w      6 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.016w     12 calls
| DFH: AO Construction              :      0.033u      0.000s      0.016w      6 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w      6 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w     54 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.002w    269 calls
CIWave: s2                          :      0.083u      0.000s      0.062w     77 calls
CIWave: s3                          :      0.117u      0.000s      0.053w    126 calls
| CIWave: s3_mt                     :      0.033u      0.000s      0.028w   1540 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     63 calls
CIWave: opdm                        :      0.000u      0.000s      0.002w      1 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      2 calls
CIWave: TPDM                        :      0.100u      0.000s      0.056w      1 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      2 calls
| CIWave: TPDM Block                :      0.083u      0.000s      0.055w     30 calls
| CIWave: TPDM Reorder              :      0.000u      0.000s      0.001w      1 calls

**************************************************************************************
